연월,공급업체명,공급업체유형,계약내역,계약유형
2023-10,온시큐리티(주),중소기업,23-현장-25 1회차 협약금지급(온시큐리티),구매
2023-06,(주)비에스컴퍼니,중소기업,보령복합발전소 소방설비 최적개선공사 일반자재 구매,구매
2023-03,지니언스(주),중소기업,(조달)네트워크 접근제어시스템 업그레이드 자재 구매,구매
2023-06,한일종합기계(주),중소기업,석탄취급설비 자동장력 SMART BELT CLEANER,구매
2023-04,주식회사 에이티지,중소기업,복합 1호기 가스터빈 스마트 화재 감시 시스템 구축(현장설치도),구매
2023-11,이글버그만코리아(주),중소기업,가스터빈 DIFFUSER EXPANSION JOINT 제작설치(설치조건부,구매
2023-03,서원풍력기계(주),중소기업,신보령 1호기 축류팬 예비품 및 정비용 자재 구매,구매
2023-05,엔에스시스템(주),중소기업,2023년도 신보령 제1호기 계획예방정비공사(보일러),공사
2023-12,(주)아이티정보통신,중소기업,안전음영구역 최소화를 위한 CCTV 설치공사/23-(공)경영8,공사
2023-03,거명파워(주),중소기업,3발전소 MAIN TBN MAJOR VALVE 부품 제작구매,구매
2023-11,(주)이투에스,중소기업,내연 2호기 국산 여자시스템 (설치조건부) 구매,구매
2023-10,(주)브이에스테크,중소기업,2023년도 인천발전본부 밸브정비 단가공사,공사
2023-08,(주)정원엔지니어링,중소기업,신보령 1호기 미분기 분쇄부 육성용접공사,공사
2023-11,부경산업개발(주),중소기업,보령항로(항계 내)준설공사,공사
2023-09,(주)금강토건,중소기업,보령발전본부 SLP취수로 교량 조성공사,공사
2023-09,어송환경산업주식회사,중소기업,2023년 사택 영선공사,공사
2023-02,대양비엔티(주),중소기업,22-현장-21호 1차 협약금지급(대양비엔티),구매
2023-09,보성엔지니어링,중소기업,"내연 주기기 실린더 라이너 및 PUMP BARREL, COMPLETE 구",구매
2023-12,(주)동연중공업,중소기업,제3부두 연속식하역기 CSU-3A BUCKET ELEVATOR 주요 부속품 교체공사/23-(공)기술44,공사
2023-02,(주)한국에프에이,중소기업,제주발전본부 복합 가스터빈 주요 밸브류 구매,구매
2023-05,(주) 드림하우징,중소기업,2022년 발전소 영선공사,공사
2023-08,베이커휴즈코리아(주),중소기업,복합 진동감시설비 서버 업그레이드 자재(설치조건부) 구매,구매
2023-11,(주)삼신,중소기업,20현장과제 사업비 최종정산(삼신),구매
2023-04,주식회사 코펙,중소기업,7호기 GGH HEATING ELEMENT BASKET ASSEMBLY 제작구매,구매
2023-09,(주)케이앤,중소기업,연료하역부두 보수공사,공사
